Date,Open,High,Low,Close,Adj Close,Volume,D/E,Profit Margin,EPS(diluted),P/B ratio
2020/3/6,4.760000229,4.820000172,4.730000019,4.789999962,3.523563385,161577424,1.001438012,2.43,0.48,0.85
2020/3/9,4.730000019,5,4.599999905,4.909999847,3.611836433,518234309,1.001438012,2.43,0.48,0.85
2020/3/10,4.849999905,4.909999847,4.71999979,4.820000172,3.545632124,263397874,1.001438012,2.43,0.48,0.85
2020/3/11,4.809999943,4.809999943,4.75,4.75,3.494139194,150508927,1.001438012,2.43,0.48,0.85
2020/3/12,4.699999809,4.739999771,4.619999886,4.639999866,3.413222313,175036426,1.001438012,2.43,0.48,0.85
2020/3/13,4.519999981,4.590000153,4.510000229,4.550000191,3.347017765,206569738,1.001438012,2.43,0.48,0.85
2020/3/16,4.579999924,4.769999981,4.579999924,4.630000114,3.405866385,266571412,1.001438012,2.43,0.48,0.85
2020/3/17,4.619999886,4.670000076,4.510000229,4.590000153,3.376441956,154084983,1.001438012,2.43,0.48,0.85
2020/3/18,4.590000153,4.619999886,4.519999981,4.53000021,3.332305193,141096749,1.001438012,2.43,0.48,0.85
2020/3/19,4.510000229,4.539999962,4.409999847,4.449999809,3.273456335,145717278,1.001438012,2.43,0.48,0.85
2020/3/20,4.5,4.53000021,4.449999809,4.510000229,3.317593336,98918673,1.001438012,2.43,0.48,0.85
2020/3/23,4.449999809,4.46999979,4.409999847,4.429999828,3.258744478,86949901,1.001438012,2.43,0.48,0.85
2020/3/24,4.460000038,4.489999771,4.449999809,4.480000019,3.295524836,81316393,1.001438012,2.43,0.48,0.85
2020/3/25,4.550000191,4.550000191,4.5,4.519999981,3.324949265,86446885,1.001438012,2.43,0.48,0.85
2020/3/26,4.519999981,4.53000021,4.480000019,4.489999771,3.302880764,69709901,1.001438012,2.43,0.48,0.85
2020/3/27,4.519999981,4.53000021,4.46999979,4.489999771,3.302880764,75602602,1.001438012,2.43,0.48,0.85
2020/3/30,4.489999771,4.489999771,4.440000057,4.46999979,3.28816843,102476953,1.001438012,2.43,0.48,0.85
2020/3/31,4.489999771,4.489999771,4.400000095,4.429999828,3.258744478,161012374,1.001438012,2.43,0.48,0.85
2020/4/1,4.420000076,4.429999828,4.380000114,4.389999866,3.229320049,116153343,1.132371712,-3.79,-0.16,0.73
2020/4/2,4.360000134,4.559999943,4.360000134,4.550000191,3.347017765,264055918,1.132371712,-3.79,-0.16,0.73
2020/4/3,4.539999962,4.539999962,4.449999809,4.460000038,3.280812979,167679712,1.132371712,-3.79,-0.16,0.73
2020/4/7,4.510000229,4.539999962,4.480000019,4.510000229,3.317593336,159965022,1.132371712,-3.79,-0.16,0.73
2020/4/8,4.489999771,4.5,4.449999809,4.5,3.310237169,116631215,1.132371712,-3.79,-0.16,0.73
2020/4/9,4.519999981,4.53000021,4.5,4.510000229,3.317593336,79263855,1.132371712,-3.79,-0.16,0.73
2020/4/10,4.5,4.539999962,4.46999979,4.489999771,3.302880764,99702301,1.132371712,-3.79,-0.16,0.73
2020/4/13,4.5,4.519999981,4.489999771,4.5,3.310237169,84317692,1.132371712,-3.79,-0.16,0.73
2020/4/14,4.5,4.510000229,4.46999979,4.5,3.310237169,99621388,1.132371712,-3.79,-0.16,0.73
2020/4/15,4.489999771,4.5,4.46999979,4.489999771,3.302880764,75520692,1.132371712,-3.79,-0.16,0.73
2020/4/16,4.46999979,4.489999771,4.46999979,4.46999979,3.28816843,80859007,1.132371712,-3.79,-0.16,0.73
2020/4/17,4.5,4.579999924,4.480000019,4.559999943,3.354373217,211818903,1.132371712,-3.79,-0.16,0.73
2020/4/20,4.519999981,4.650000095,4.519999981,4.610000134,3.391154051,137589299,1.132371712,-3.79,-0.16,0.73
2020/4/21,4.570000172,4.590000153,4.53000021,4.539999962,3.339661598,119490683,1.132371712,-3.79,-0.16,0.73
2020/4/22,4.519999981,4.53000021,4.480000019,4.510000229,3.317593336,77973682,1.132371712,-3.79,-0.16,0.73
2020/4/23,4.519999981,4.610000134,4.519999981,4.550000191,3.347017765,121501782,1.132371712,-3.79,-0.16,0.73
2020/4/24,4.550000191,4.559999943,4.489999771,4.489999771,3.302880764,81335790,1.132371712,-3.79,-0.16,0.73
2020/4/27,4.5,4.519999981,4.480000019,4.510000229,3.317593336,65727847,1.132371712,-3.79,-0.16,0.73
2020/4/28,4.489999771,4.5,4.429999828,4.429999828,3.258744478,110505789,1.132371712,-3.79,-0.16,0.73
2020/4/29,4.460000038,4.460000038,4.420000076,4.440000057,3.266100407,67861751,1.132371712,-3.79,-0.16,0.73
2020/4/30,4.409999847,4.460000038,4.380000114,4.460000038,3.280812979,119640204,1.132371712,-3.79,-0.16,0.73
2020/5/6,4.409999847,4.440000057,4.409999847,4.429999828,3.258744478,84819242,1.132371712,-3.79,-0.16,0.73
2020/5/7,4.429999828,4.429999828,4.409999847,4.409999847,3.244032145,57714809,1.132371712,-3.79,-0.16,0.73
2020/5/8,4.420000076,4.429999828,4.409999847,4.420000076,3.25138855,65920898,1.132371712,-3.79,-0.16,0.73
2020/5/11,4.429999828,4.440000057,4.409999847,4.409999847,3.244032145,55947548,1.132371712,-3.79,-0.16,0.73
2020/5/12,4.420000076,4.420000076,4.400000095,4.400000095,3.236676216,54066435,1.132371712,-3.79,-0.16,0.73
2020/5/13,4.400000095,4.420000076,4.380000114,4.409999847,3.244032145,62129330,1.132371712,-3.79,-0.16,0.73
2020/5/14,4.389999866,4.400000095,4.369999886,4.380000114,3.221963882,55408978,1.132371712,-3.79,-0.16,0.73
2020/5/15,4.389999866,4.400000095,4.360000134,4.360000134,3.207252026,50811392,1.132371712,-3.79,-0.16,0.73
2020/5/18,4.369999886,4.389999866,4.360000134,4.369999886,3.214608192,51495650,1.132371712,-3.79,-0.16,0.73
2020/5/19,4.409999847,4.420000076,4.380000114,4.389999866,3.229320049,76973124,1.132371712,-3.79,-0.16,0.73
2020/5/20,4.389999866,4.389999866,4.360000134,4.369999886,3.214608192,42610778,1.132371712,-3.79,-0.16,0.73
2020/5/21,4.380000114,4.389999866,4.349999905,4.360000134,3.207252026,68249369,1.132371712,-3.79,-0.16,0.73
2020/5/22,4.349999905,4.360000134,4.25,4.25,3.126335144,121236388,1.132371712,-3.79,-0.16,0.73
2020/5/25,4.25,4.260000229,4.210000038,4.21999979,3.104266882,58933644,1.132371712,-3.79,-0.16,0.73
2020/5/26,4.230000019,4.239999771,4.190000057,4.210000038,3.096910715,81135480,1.132371712,-3.79,-0.16,0.73
2020/5/27,4.210000038,4.21999979,4.179999828,4.190000057,3.08219862,71932997,1.132371712,-3.79,-0.16,0.73
2020/5/28,4.179999828,4.210000038,4.159999847,4.190000057,3.08219862,68668482,1.132371712,-3.79,-0.16,0.73
2020/5/29,4.179999828,4.190000057,4.139999866,4.139999866,3.045418024,74630247,1.132371712,-3.79,-0.16,0.73
2020/6/1,4.150000095,4.210000038,4.150000095,4.199999809,3.089554071,100851465,1.132371712,-3.79,-0.16,0.73
2020/6/2,4.199999809,4.239999771,4.190000057,4.21999979,3.104266882,84259723,1.132371712,-3.79,-0.16,0.73
2020/6/3,4.239999771,4.269999981,4.239999771,4.239999771,3.118978739,90997752,1.132371712,-3.79,-0.16,0.73
2020/6/4,4.260000229,4.260000229,4.179999828,4.190000057,3.08219862,93562405,1.132371712,-3.79,-0.16,0.73
2020/6/5,4.199999809,4.230000019,4.170000076,4.230000019,3.111622334,78157974,1.132371712,-3.79,-0.16,0.73
2020/6/8,4.25,4.300000191,4.239999771,4.300000191,3.163115501,129640293,1.132371712,-3.79,-0.16,0.73
2020/6/9,4.300000191,4.300000191,4.269999981,4.289999962,3.155759096,111041120,1.132371712,-3.79,-0.16,0.73
2020/6/10,4.119999886,4.119999886,4.079999924,4.090000153,3.148062468,108417595,1.132371712,-3.79,-0.16,0.73
2020/6/11,4.079999924,4.090000153,4.03000021,4.03000021,3.101880312,97043809,1.132371712,-3.79,-0.16,0.73
2020/6/12,3.99000001,4.070000172,3.970000029,4.039999962,3.109577417,92414597,1.132371712,-3.79,-0.16,0.73
2020/6/15,4.019999981,4.019999981,3.99000001,3.99000001,3.071092606,60136071,1.132371712,-3.79,-0.16,0.73
2020/6/16,4.019999981,4.019999981,4,4.019999981,3.094183683,55590647,1.132371712,-3.79,-0.16,0.73
2020/6/17,4.010000229,4.019999981,3.99000001,4.010000229,3.086486816,64228025,1.132371712,-3.79,-0.16,0.73
2020/6/18,3.99000001,4.019999981,3.980000019,4.010000229,3.086486816,107436567,1.132371712,-3.79,-0.16,0.73
2020/6/19,4.010000229,4.03000021,4,4.010000229,3.086486816,96098272,1.132371712,-3.79,-0.16,0.73
2020/6/22,4.010000229,4.019999981,3.99000001,3.99000001,3.071092606,86156481,1.132371712,-3.79,-0.16,0.73
2020/6/23,3.99000001,4,3.960000038,3.970000029,3.055698633,91196222,1.132371712,-3.79,-0.16,0.73
2020/6/24,3.960000038,3.980000019,3.960000038,3.970000029,3.055698633,74132374,1.132371712,-3.79,-0.16,0.73
2020/6/29,3.960000038,3.960000038,3.900000095,3.920000076,3.017213821,147280011,1.132371712,-3.79,-0.16,0.73
2020/6/30,3.930000067,3.940000057,3.910000086,3.910000086,3.009516716,67638235,1.132371712,-3.79,-0.16,0.73
2020/7/1,3.920000076,3.940000057,3.900000095,3.930000067,3.024910688,98015525,1.191503414,-2.15,-0.19,0.66
2020/7/2,3.920000076,4.019999981,3.910000086,4.010000229,3.086486816,211938640,1.191503414,-2.15,-0.19,0.66
2020/7/3,4,4.090000153,3.99000001,4.079999924,3.140365124,227156318,1.191503414,-2.15,-0.19,0.66
2020/7/6,4.110000134,4.289999962,4.110000134,4.269999981,3.286607981,423753375,1.191503414,-2.15,-0.19,0.66
2020/7/7,4.309999943,4.360000134,4.230000019,4.230000019,3.255819559,420182152,1.191503414,-2.15,-0.19,0.66
2020/7/8,4.210000038,4.21999979,4.130000114,4.210000038,3.240426064,289021034,1.191503414,-2.15,-0.19,0.66
2020/7/9,4.199999809,4.25,4.170000076,4.230000019,3.255819559,271902156,1.191503414,-2.15,-0.19,0.66
2020/7/10,4.199999809,4.199999809,4.119999886,4.130000114,3.178850174,217219229,1.191503414,-2.15,-0.19,0.66
2020/7/13,4.130000114,4.179999828,4.119999886,4.170000076,3.209638119,241002124,1.191503414,-2.15,-0.19,0.66
2020/7/14,4.150000095,4.170000076,4.070000172,4.090000153,3.148062468,279702490,1.191503414,-2.15,-0.19,0.66
2020/7/15,4.110000134,4.130000114,4.039999962,4.050000191,3.117274523,190492259,1.191503414,-2.15,-0.19,0.66
2020/7/16,4.070000172,4.070000172,3.980000019,3.980000019,3.0633955,217229888,1.191503414,-2.15,-0.19,0.66
2020/7/17,3.99000001,4,3.960000038,3.970000029,3.055698633,130986083,1.191503414,-2.15,-0.19,0.66
2020/7/20,3.980000019,4.050000191,3.970000029,4.039999962,3.109577417,157380543,1.191503414,-2.15,-0.19,0.66
2020/7/21,4.050000191,4.070000172,4.010000229,4.019999981,3.094183683,117647289,1.191503414,-2.15,-0.19,0.66
2020/7/22,4.050000191,4.130000114,4.03000021,4.079999924,3.140365124,254716763,1.191503414,-2.15,-0.19,0.66
2020/7/23,4.059999943,4.079999924,3.99000001,4.03000021,3.101880312,174838982,1.191503414,-2.15,-0.19,0.66
2020/7/24,4.059999943,4.090000153,3.99000001,4,3.078789473,192382446,1.191503414,-2.15,-0.19,0.66
2020/7/27,4.010000229,4.03000021,3.99000001,4.010000229,3.086486816,123328259,1.191503414,-2.15,-0.19,0.66
2020/7/28,4.03000021,4.039999962,3.99000001,4.010000229,3.086486816,117682341,1.191503414,-2.15,-0.19,0.66
2020/7/29,4.010000229,4.019999981,3.980000019,4.019999981,3.094183683,198564764,1.191503414,-2.15,-0.19,0.66
2020/7/30,4.010000229,4.019999981,3.99000001,3.99000001,3.071092606,97227740,1.191503414,-2.15,-0.19,0.66
2020/7/31,3.980000019,4.010000229,3.970000029,4,3.078789473,140601917,1.191503414,-2.15,-0.19,0.66
2020/8/3,4,4.019999981,3.99000001,4.010000229,3.086486816,131665126,1.191503414,-2.15,-0.19,0.66
2020/8/4,4.010000229,4.050000191,4,4.039999962,3.109577417,167470192,1.191503414,-2.15,-0.19,0.66
2020/8/5,4.03000021,4.039999962,4,4.019999981,3.094183683,111561964,1.191503414,-2.15,-0.19,0.66
2020/8/6,4.039999962,4.059999943,4.010000229,4.03000021,3.101880312,171519832,1.191503414,-2.15,-0.19,0.66
2020/8/7,4.019999981,4.019999981,3.980000019,3.99000001,3.071092606,170693183,1.191503414,-2.15,-0.19,0.66
2020/8/10,3.99000001,4.010000229,3.970000029,4,3.078789473,146323592,1.191503414,-2.15,-0.19,0.66
2020/8/11,4.010000229,4.019999981,3.99000001,3.99000001,3.071092606,157801790,1.191503414,-2.15,-0.19,0.66
2020/8/12,3.99000001,4,3.970000029,3.99000001,3.071092606,177450604,1.191503414,-2.15,-0.19,0.66
2020/8/13,4,4.019999981,3.99000001,4.010000229,3.086486816,147114217,1.191503414,-2.15,-0.19,0.66
2020/8/14,4,4.019999981,3.99000001,4.019999981,3.094183683,117517413,1.191503414,-2.15,-0.19,0.66
2020/8/17,4.010000229,4.090000153,4.010000229,4.070000172,3.132668495,292142075,1.191503414,-2.15,-0.19,0.66
2020/8/18,4.070000172,4.079999924,4.039999962,4.059999943,3.124971151,172356026,1.191503414,-2.15,-0.19,0.66
2020/8/19,4.059999943,4.099999905,4.050000191,4.059999943,3.124971151,236413264,1.191503414,-2.15,-0.19,0.66
2020/8/20,4.059999943,4.059999943,4.019999981,4.03000021,3.101880312,179979741,1.191503414,-2.15,-0.19,0.66
2020/8/21,4.039999962,4.050000191,4.010000229,4.03000021,3.101880312,100434904,1.191503414,-2.15,-0.19,0.66
2020/8/24,4.03000021,4.050000191,4.019999981,4.039999962,3.109577417,104327010,1.191503414,-2.15,-0.19,0.66
2020/8/25,4.050000191,4.050000191,4.019999981,4.03000021,3.101880312,102714779,1.191503414,-2.15,-0.19,0.66
2020/8/26,4.039999962,4.070000172,4.019999981,4.050000191,3.117274523,177817543,1.191503414,-2.15,-0.19,0.66
2020/8/27,4.050000191,4.059999943,4.010000229,4.03000021,3.101880312,102644729,1.191503414,-2.15,-0.19,0.66
2020/8/28,4.010000229,4.039999962,4,4.03000021,3.101880312,122791191,1.191503414,-2.15,-0.19,0.66
2020/8/31,4.03000021,4.059999943,4.019999981,4.03000021,3.101880312,160047916,1.191503414,-2.15,-0.19,0.66
2020/9/1,4.03000021,4.039999962,4.019999981,4.03000021,3.101880312,87702448,1.191503414,-2.15,-0.19,0.66
2020/9/2,4.03000021,4.03000021,3.99000001,4,3.078789473,99417007,1.191503414,-2.15,-0.19,0.66
2020/9/3,4,4.019999981,3.980000019,3.99000001,3.071092606,108358605,1.191503414,-2.15,-0.19,0.66
2020/9/4,3.980000019,3.99000001,3.960000038,3.980000019,3.0633955,118317300,1.191503414,-2.15,-0.19,0.66
2020/9/7,3.970000029,3.980000019,3.950000048,3.960000038,3.048001766,110020047,1.191503414,-2.15,-0.19,0.66
2020/9/8,3.960000038,3.980000019,3.950000048,3.970000029,3.055698633,97108373,1.191503414,-2.15,-0.19,0.66
2020/9/9,3.950000048,3.970000029,3.940000057,3.940000057,3.032607555,121619965,1.191503414,-2.15,-0.19,0.66
2020/9/10,3.950000048,3.960000038,3.910000086,3.920000076,3.017213821,118299706,1.191503414,-2.15,-0.19,0.66
2020/9/11,3.910000086,3.920000076,3.900000095,3.910000086,3.009516716,70922788,1.191503414,-2.15,-0.19,0.66
2020/9/14,3.920000076,3.930000067,3.910000086,3.920000076,3.017213821,57184320,1.191503414,-2.15,-0.19,0.66
2020/9/15,3.920000076,3.930000067,3.910000086,3.920000076,3.017213821,49234843,1.191503414,-2.15,-0.19,0.66
2020/9/16,3.930000067,3.950000048,3.910000086,3.940000057,3.032607555,68228567,1.191503414,-2.15,-0.19,0.66
2020/9/17,3.940000057,3.950000048,3.930000067,3.930000067,3.024910688,52459445,1.191503414,-2.15,-0.19,0.66
2020/9/18,3.950000048,3.960000038,3.930000067,3.960000038,3.048001766,126999862,1.191503414,-2.15,-0.19,0.66
2020/9/21,3.960000038,3.980000019,3.950000048,3.970000029,3.055698633,76441444,1.191503414,-2.15,-0.19,0.66
