,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,600028.SS,601857.SS,600028.SS,601857.SS,600028.SS,601857.SS,600028.SS,601857.SS,600028.SS,601857.SS,600028.SS,601857.SS
Date,,,,,,,,,,,,
2020-01-02,3.8030943870544434,5.197851181030273,5.170000076293945,5.869999885559082,5.190000057220459,5.880000114440918,5.110000133514404,5.840000152587891,5.130000114440918,5.860000133514404,125043592,72808500
2020-01-03,3.876654863357544,5.26869010925293,5.269999980926514,5.949999809265137,5.289999961853027,5.989999771118164,5.179999828338623,5.860000133514404,5.190000057220459,5.869999885559082,164887316,119856782
2020-01-06,3.942859649658203,5.516629695892334,5.360000133514404,6.230000019073486,5.409999847412109,6.28000020980835,5.289999961853027,6.019999980926514,5.309999942779541,6.03000020980835,211251253,301646124
2020-01-07,3.861943483352661,5.410369873046875,5.25,6.110000133514404,5.300000190734863,6.170000076293945,5.199999809265137,6.070000171661377,5.300000190734863,6.170000076293945,126348161,152681755
2020-01-08,3.8840115070343018,5.516629695892334,5.28000020980835,6.230000019073486,5.28000020980835,6.230000019073486,5.28000020980835,6.230000019073486,5.28000020980835,6.230000019073486,127040971,215451333
2020-01-09,3.8178067207336426,5.366094589233398,5.190000057220459,6.059999942779541,5.21999979019165,6.079999923706055,5.170000076293945,6.0,5.190000057220459,6.039999961853027,103355538,159983683
2020-01-10,3.7957382202148438,5.304110527038574,5.159999847412109,5.989999771118164,5.190000057220459,6.039999961853027,5.139999866485596,5.960000038146973,5.179999828338623,6.039999961853027,46913955,92130621
2020-01-13,3.7810258865356445,5.286400318145752,5.139999866485596,5.96999979019165,5.139999866485596,5.96999979019165,5.139999866485596,5.96999979019165,5.139999866485596,5.96999979019165,83754435,55118392
2020-01-14,3.7810258865356445,5.26869010925293,5.139999866485596,5.949999809265137,5.139999866485596,5.949999809265137,5.139999866485596,5.949999809265137,5.139999866485596,5.949999809265137,84445453,44480419
2020-01-15,3.7442467212677,5.197851181030273,5.090000152587891,5.869999885559082,5.139999866485596,5.96999979019165,5.090000152587891,5.860000133514404,5.139999866485596,5.949999809265137,50513896,72014546
2020-01-16,3.7295339107513428,5.162431240081787,5.070000171661377,5.829999923706055,5.110000133514404,5.889999866485596,5.059999942779541,5.809999942779541,5.099999904632568,5.880000114440918,52747510,57860992
2020-01-17,3.7295339107513428,5.171286106109619,5.070000171661377,5.840000152587891,5.099999904632568,5.869999885559082,5.050000190734863,5.829999923706055,5.079999923706055,5.840000152587891,60190660,36667641
2020-01-20,3.7148215770721436,5.180141925811768,5.050000190734863,5.849999904632568,5.079999923706055,5.860000133514404,5.039999961853027,5.809999942779541,5.070000171661377,5.849999904632568,61508558,53408389
2020-01-21,3.6853973865509033,5.127011775970459,5.010000228881836,5.789999961853027,5.050000190734863,5.849999904632568,5.0,5.78000020980835,5.039999961853027,5.849999904632568,74500553,56028546
2020-01-22,3.6633291244506836,5.082736968994141,4.980000019073486,5.739999771118164,5.010000228881836,5.769999980926514,4.949999809265137,5.710000038146973,5.0,5.760000228881836,81200220,66239738
2020-01-23,3.6339049339294434,4.994187831878662,4.940000057220459,5.639999866485596,4.96999979019165,5.71999979019165,4.900000095367432,5.619999885559082,4.960000038146973,5.699999809265137,110492183,81444447
2020-02-03,3.398509979248047,4.542585849761963,4.619999885559082,5.130000114440918,4.739999771118164,5.289999961853027,4.489999771118164,5.079999923706055,4.5,5.139999866485596,216185335,227093729
2020-02-04,3.413222074508667,4.578005313873291,4.639999866485596,5.170000076293945,4.650000095367432,5.190000057220459,4.539999961853027,5.070000171661377,4.579999923706055,5.070000171661377,120059382,106459420
2020-02-05,3.413222074508667,4.613425254821777,4.639999866485596,5.210000038146973,4.699999809265137,5.269999980926514,4.590000152587891,5.130000114440918,4.630000114440918,5.170000076293945,120889413,102318674
2020-02-06,3.4573585987091064,4.6665544509887695,4.699999809265137,5.269999980926514,4.730000019073486,5.289999961853027,4.630000114440918,5.210000038146973,4.690000057220459,5.25,102451696,86647363
2020-02-07,3.479426622390747,4.675409317016602,4.730000019073486,5.28000020980835,4.739999771118164,5.28000020980835,4.659999847412109,5.210000038146973,4.699999809265137,5.239999771118164,95184826,61128263
2020-02-10,3.464714765548706,4.675409317016602,4.710000038146973,5.28000020980835,4.739999771118164,5.289999961853027,4.679999828338623,5.21999979019165,4.739999771118164,5.239999771118164,114663643,56130919
2020-02-11,3.4720711708068848,4.693119049072266,4.71999979019165,5.300000190734863,4.75,5.340000152587891,4.690000057220459,5.260000228881836,4.710000038146973,5.269999980926514,116920868,71171722
2020-02-12,3.479426622390747,4.701974391937256,4.730000019073486,5.309999942779541,4.730000019073486,5.320000171661377,4.679999828338623,5.28000020980835,4.71999979019165,5.289999961853027,84461678,54500038
2020-02-13,3.4573585987091064,4.675409317016602,4.699999809265137,5.28000020980835,4.739999771118164,5.349999904632568,4.699999809265137,5.28000020980835,4.730000019073486,5.329999923706055,91856677,53568587
2020-02-14,3.464714765548706,4.675409317016602,4.710000038146973,5.28000020980835,4.71999979019165,5.300000190734863,4.679999828338623,5.25,4.690000057220459,5.260000228881836,66680105,47917020
