Date,Open,High,Low,Close,Adj Close,Volume,D/E,Profit Margin,EPS(diluted),P/B ratio
2020/1/2,5.860000134,5.880000114,5.840000153,5.869999886,5.197850704,72808500,0.892033521,2.66,0.25,0.87
2020/1/3,5.869999886,5.989999771,5.860000134,5.949999809,5.268690586,119856782,0.892033521,2.66,0.25,0.87
2020/1/6,6.03000021,6.28000021,6.019999981,6.230000019,5.516628742,301646124,0.892033521,2.66,0.25,0.87
2020/1/7,6.170000076,6.170000076,6.070000172,6.110000134,5.410369873,152681755,0.892033521,2.66,0.25,0.87
2020/1/8,6.230000019,6.230000019,6.230000019,6.230000019,5.516628742,215451333,0.892033521,2.66,0.25,0.87
2020/1/9,6.039999962,6.079999924,6,6.059999943,5.366095066,159983683,0.892033521,2.66,0.25,0.87
2020/1/10,6.039999962,6.039999962,5.960000038,5.989999771,5.30411005,92130621,0.892033521,2.66,0.25,0.87
2020/1/13,5.96999979,5.96999979,5.96999979,5.96999979,5.286400318,55118392,0.892033521,2.66,0.25,0.87
2020/1/14,5.949999809,5.949999809,5.949999809,5.949999809,5.268690586,44480419,0.892033521,2.66,0.25,0.87
2020/1/15,5.949999809,5.96999979,5.860000134,5.869999886,5.197850704,72014546,0.892033521,2.66,0.25,0.87
2020/1/16,5.880000114,5.889999866,5.809999943,5.829999924,5.162431717,57860992,0.892033521,2.66,0.25,0.87
2020/1/17,5.840000153,5.869999886,5.829999924,5.840000153,5.171286106,36667641,0.892033521,2.66,0.25,0.87
2020/1/20,5.849999905,5.860000134,5.809999943,5.849999905,5.180140972,53408389,0.892033521,2.66,0.25,0.87
2020/1/21,5.849999905,5.849999905,5.78000021,5.789999962,5.127011776,56028546,0.892033521,2.66,0.25,0.87
2020/1/22,5.760000229,5.769999981,5.710000038,5.739999771,5.082736492,66239738,0.892033521,2.66,0.25,0.87
2020/1/23,5.699999809,5.71999979,5.619999886,5.639999866,4.994187355,81444447,0.892033521,2.66,0.25,0.87
2020/2/3,5.139999866,5.289999962,5.079999924,5.130000114,4.542585373,227093729,0.892033521,2.66,0.25,0.87
